ID,Name,Pos,Team,Price,22_fix,22_xmins,22_pts,22_g,22_a,22_cs,22_bon,22_dmins,22_likelihood,23_fix,23_xmins,23_pts,23_g,23_a,23_cs,23_bon,23_dmins,23_likelihood,24_fix,24_xmins,24_pts,24_g,24_a,24_cs,24_bon,24_dmins,24_likelihood,25_fix,25_xmins,25_pts,25_g,25_a,25_cs,25_bon,25_dmins,25_likelihood,26_fix,26_xmins,26_pts,26_g,26_a,26_cs,26_bon,26_dmins,26_likelihood
177,Rondón,4,EVE,49,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
178,Coleman,2,EVE,44,(H): ARS,66.74,1.831,0.024,0.038,0.112,0.068,66.74,1,(A): LIV,64.41,1.772,0.021,0.036,0.111,0.063,64.41,1,(H): LEE,57.21,2.661,0.034,0.058,0.209,0.226,57.21,1,(H): AVL(A): ARS,43.47,2.219,0.022,0.039,0.157,0.182,42.93 47.08,1 0.15,(A): NFO,32.87,1.442,0.015,0.025,0.083,0.098,32.87,1
179,Townsend,3,EVE,54,(H): ARS,2.23,0.126,0.002,0.003,0,0.004,2.23,1,(A): LIV,6.02,0.305,0.005,0.008,0.001,0.01,6.02,1,(H): LEE,9.56,0.55,0.015,0.023,0.004,0.033,9.56,1,(H): AVL(A): ARS,11.5,0.714,0.019,0.026000000000000002,0.009,0.036000000000000004,11.7 10.17,1 0.15,(A): NFO,10.85,0.567,0.013,0.02,0.006,0.025,10.85,1
180,Keane,2,EVE,42,(H): ARS,0.36,0.014,0,0,0,0,0.36,1,(A): LIV,0.36,0.014,0,0,0,0,0.36,1,(H): LEE,0.67,0.033,0,0,0.001,0.002,0.67,1,(H): AVL(A): ARS,1.06,0.056999999999999995,0.001,0,0.002,0.003,1.07 0.96,1 0.15,(A): NFO,0.95,0.044,0,0,0.001,0.002,0.95,1
181,Dele,3,EVE,53,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
182,Pickford,1,EVE,44,(H): ARS,87.93,3.186,0,0.005,0.118,0.236,87.93,1,(A): LIV,88.61,3.21,0,0.005,0.123,0.232,88.61,1,(H): LEE,87.05,3.693,0,0.007,0.292,0.35,87.05,1,(A): ARS(H): AVL,86.67,4.247,0,0.009000000000000001,0.334,0.397,87.09 86.61,0.15 1,(A): NFO,86.68,3.582,0,0.006,0.274,0.306,86.68,1
183,Allan,3,EVE,48,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
184,André Gomes,3,EVE,45,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
185,A.Doucouré,3,EVE,53,(H): ARS,14.32,0.56,0.013,0.012,0.011,0.02,14.32,1,(A): LIV,15.9,0.604,0.014,0.012,0.014,0.02,15.9,1,(H): LEE,19.38,0.888,0.032,0.029,0.044,0.046,19.38,1,(H): AVL(A): ARS,19.55,0.956,0.028999999999999998,0.026000000000000002,0.051000000000000004,0.041999999999999996,19.38 20.65,1 0.15,(A): NFO,20.22,0.84,0.024,0.021,0.045,0.035,20.22,1
186,Iwobi,3,EVE,54,(H): ARS,83.18,2.702,0.061,0.113,0.119,0.143,83.18,1,(A): LIV,80.3,2.565,0.054,0.103,0.119,0.128,80.3,1,(H): LEE,76.61,3.227,0.099,0.181,0.268,0.241,76.61,1,(H): AVL(A): ARS,76.17,3.379,0.09000000000000001,0.165,0.306,0.21000000000000002,76.13 76.43,1 0.15,(A): NFO,77.08,2.872,0.073,0.134,0.254,0.175,77.08,1
187,Gbamin,3,EVE,45,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
188,Mina,2,EVE,43,(H): ARS,26.45,0.735,0.013,0.006,0.03,0.019,26.45,1,(A): LIV,20.71,0.588,0.01,0.004,0.022,0.014,20.71,1,(H): LEE,20.61,0.891,0.018,0.008,0.049,0.06,20.61,1,(A): ARS(H): AVL,22.35,1.066,0.018000000000000002,0.008,0.064,0.068,20.86 22.57,0.15 1,(A): NFO,22.74,0.912,0.015,0.006,0.054,0.051,22.74,1
189,Gray,3,EVE,53,(H): ARS,76.22,2.979,0.125,0.124,0.119,0.132,76.22,1,(A): LIV,71.8,2.76,0.111,0.108,0.116,0.114,71.8,1,(H): LEE,70.9,3.778,0.199,0.197,0.26,0.3,70.9,1,(H): AVL(A): ARS,69.48,3.8529999999999998,0.18000000000000002,0.17600000000000002,0.29300000000000004,0.28200000000000003,69.64 68.42,1 0.15,(A): NFO,68.22,3.182,0.149,0.142,0.236,0.195,68.22,1
190,Davies,3,EVE,49,(H): ARS,12.4,0.52,0.007,0.006,0.002,0.015,12.4,1,(A): LIV,14.6,0.607,0.008,0.007,0.007,0.016,14.6,1,(H): LEE,17.94,0.846,0.02,0.017,0.028,0.032,17.94,1,(A): ARS(H): AVL,17.41,0.904,0.017,0.013999999999999999,0.03,0.033,18.18 17.29,0.15 1,(A): NFO,18.17,0.812,0.014,0.012,0.029,0.029,18.17,1
191,Calvert-Lewin,4,EVE,79,(H): ARS,81.55,3.247,0.265,0.08,0,0.249,81.55,1,(A): LIV,78.74,3.04,0.236,0.073,0,0.216,78.74,1,(H): LEE,76.85,4.289,0.43,0.131,0,0.561,76.85,1,(H): AVL(A): ARS,74.73,4.231,0.386,0.11699999999999999,0,0.502,74.52 76.15,1 0.15,(A): NFO,74.82,3.531,0.311,0.096,0,0.402,74.82,1
192,Holgate,2,EVE,43,(H): ARS,15.88,0.352,0.003,0.005,0.017,0.009,15.88,1,(A): LIV,15.72,0.351,0.003,0.005,0.017,0.009,15.72,1,(H): LEE,14.46,0.518,0.006,0.008,0.036,0.03,14.46,1,(A): ARS(H): AVL,12.52,0.494,0.004,0.005,0.033,0.028,14.03 12.29,0.15 1,(A): NFO,10.71,0.368,0.004,0.004,0.022,0.019,10.71,1
193,Godfrey,2,EVE,43,(H): ARS,22.67,0.534,0.007,0.005,0.031,0.015,22.67,1,(A): LIV,46.62,1.03,0.013,0.009,0.065,0.03,46.62,1,(H): LEE,46.98,1.768,0.026,0.017,0.153,0.112,46.98,1,(H): AVL(A): ARS,46.94,1.963,0.024,0.016,0.17600000000000002,0.128,46.92 47.09,1 0.15,(A): NFO,50.4,1.748,0.02,0.013,0.155,0.101,50.4,1
194,Mykolenko,2,EVE,43,(H): ARS,76.44,1.811,0.015,0.053,0.115,0.06,76.44,1,(A): LIV,72.18,1.74,0.015,0.046,0.112,0.055,72.18,1,(H): LEE,67.86,2.795,0.023,0.078,0.241,0.194,67.86,1,(H): AVL(A): ARS,68.17,3.105,0.022,0.07200000000000001,0.279,0.214,68.23 67.77,1 0.15,(A): NFO,66.28,2.542,0.018,0.058,0.222,0.155,66.28,1
195,Gordon,3,NEW,52,(H): WHU,37.12,1.959,0.084,0.091,0.159,0.12,37.12,1,(A): BOU(A): WHU,40.49,2.285,0.106,0.114,0.188,0.14300000000000002,40.56 38.13,1 0.03,(H): LIV(A): WHU,45.08,2.259,0.097,0.108,0.154,0.137,45.1 44.35,1 0.03,,0,0,0,0,0,0,,,(A): MCI(H): BHA,38.13,1.731,0.06,0.061,0.075,0.074,38.06 38.8,1 0.1
196,Branthwaite,2,EVE,40,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
197,Patterson,2,EVE,39,(H): ARS,0,0,0,0,0,0,0,1,(A): LIV,0,0,0,0,0,0,0,1,(H): LEE,7.94,0.328,0.003,0.007,0.022,0.017,7.94,1,(H): AVL(A): ARS,29.33,1.351,0.013999999999999999,0.028,0.112,0.077,29.99 24.93,1 0.15,(A): NFO,51.89,1.972,0.02,0.04,0.168,0.098,51.89,1
198,Nkounkou,2,EVE,40,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
199,Tarkowski,2,EVE,42,(H): ARS,86.36,1.757,0.032,0.02,0.118,0.067,86.36,1,(A): LIV,82.86,1.697,0.029,0.018,0.117,0.062,82.86,1,(H): LEE,79.79,2.98,0.051,0.033,0.27,0.232,79.79,1,(H): AVL(A): ARS,78.11,3.226,0.046,0.028999999999999998,0.304,0.251,78.14 77.92,1 0.15,(A): NFO,75.77,2.628,0.036,0.023,0.241,0.18,75.77,1
200,Cairney,3,FUL,47,(A): CHE,16.03,0.731,0.012,0.02,0.01,0.028,16.03,1,(H): NFO,18.04,0.951,0.024,0.038,0.028,0.054,18.04,1,(A): BHA,17.21,0.801,0.016,0.024,0.011,0.033,17.21,1,(H): WOL,18.82,0.971,0.025,0.038,0.029,0.052,18.82,1,(A): BRE,18.79,0.901,0.02,0.031,0.019,0.041,18.79,1
201,Ream,2,FUL,45,(A): CHE,86.19,1.934,0.008,0.011,0.14,0.093,86.19,1,(H): NFO,84.59,3.189,0.013,0.019,0.315,0.274,84.59,1,(A): BHA,81.41,1.658,0.008,0.011,0.11,0.076,81.41,1,(H): WOL,82.23,2.903,0.012,0.016,0.28,0.232,82.23,1,(A): BRE,80.87,2.067,0.009,0.013,0.162,0.112,80.87,1
202,Knockaert,3,FUL,47,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
203,Chalobah,3,FUL,44,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
204,Kebano,3,FUL,54,(A): CHE,0,0,0,0,0,0,0,1,(H): NFO,0,0,0,0,0,0,0,1,(A): BHA,0,0,0,0,0,0,0,1,(H): WOL,0,0,0,0,0,0,0,1,(A): BRE,0,0,0,0,0,0,0,1
205,De Cordova-Reid,3,FUL,55,(A): CHE,71.43,2.492,0.085,0.075,0.132,0.102,71.43,1,(H): NFO,70.99,3.243,0.15,0.133,0.285,0.205,70.99,1,(A): BHA,68.29,2.47,0.093,0.083,0.106,0.107,68.29,1,(H): WOL,65.43,2.849,0.125,0.108,0.239,0.158,65.43,1,(A): BRE,64.36,2.506,0.1,0.091,0.143,0.115,64.36,1
206,Bryan,2,FUL,44,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
207,Gazzaniga,1,FUL,40,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
208,Kongolo,2,FUL,39,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
209,Tosin,2,FUL,45,(A): CHE,24.98,0.629,0.006,0.004,0.037,0.026,24.98,1,(H): NFO,24.89,1.012,0.011,0.007,0.084,0.085,24.89,1,(A): BHA,30.78,0.707,0.009,0.005,0.04,0.028,30.78,1,(H): WOL,29.18,1.105,0.012,0.006,0.093,0.079,29.18,1,(A): BRE,28.68,0.811,0.01,0.005,0.054,0.039,28.68,1
210,Mitrović,4,FUL,69,(A): CHE,83.25,3.512,0.293,0.105,0,0.344,83.25,1,(H): NFO,81.07,4.953,0.5,0.181,0,0.769,81.07,1,(A): BHA,80.4,3.698,0.322,0.116,0,0.44,80.4,1,(H): WOL,79.31,4.628,0.459,0.164,0,0.713,79.31,1,(A): BRE,78.34,3.955,0.368,0.131,0,0.513,78.34,1
211,Reed,3,FUL,44,(A): CHE,67.66,1.981,0.021,0.039,0.134,0.071,67.66,1,(H): NFO,63.16,2.208,0.034,0.065,0.26,0.092,63.16,1,(A): BHA,61.13,1.843,0.022,0.041,0.101,0.071,61.13,1,(H): WOL,57.61,1.992,0.028,0.057,0.213,0.081,57.61,1,(A): BRE,58.22,1.841,0.023,0.045,0.135,0.067,58.22,1
212,Wilson,3,FUL,57,(A): CHE,29.39,1.397,0.048,0.044,0.037,0.068,29.39,1,(H): NFO,28.34,1.76,0.083,0.076,0.071,0.151,28.34,1,(A): BHA,29.64,1.468,0.057,0.052,0.033,0.077,29.64,1,(H): WOL,30.44,1.793,0.082,0.075,0.076,0.152,30.44,1,(A): BRE,32.71,1.696,0.072,0.065,0.055,0.104,32.71,1
213,Rodák,1,FUL,43,(A): CHE,1.25,0.046,0,0,0.002,0.003,1.25,1,(H): NFO,2.23,0.096,0,0,0.008,0.008,2.23,1,(A): BHA,3.98,0.145,0,0,0.005,0.011,3.98,1,(H): WOL,4.5,0.19,0,0,0.015,0.017,4.5,1,(A): BRE,5.01,0.188,0,0,0.01,0.014,5.01,1
214,Cavaleiro,3,FUL,48,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
215,Tete,2,FUL,44,(A): CHE,72.92,1.796,0.015,0.052,0.126,0.082,72.92,1,(H): NFO,70.74,3.019,0.025,0.088,0.27,0.281,70.74,1,(A): BHA,68.13,1.568,0.016,0.055,0.098,0.069,68.13,1,(H): WOL,67.34,2.662,0.022,0.077,0.235,0.212,67.34,1,(A): BRE,66.88,1.922,0.018,0.062,0.14,0.103,66.88,1
216,Onomah,3,FUL,43,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
217,Robinson,2,FUL,44,(A): CHE,83.27,1.912,0.006,0.052,0.139,0.079,83.27,1,(H): NFO,77.06,3.09,0.011,0.085,0.294,0.252,77.06,1,(A): BHA,77.62,1.655,0.008,0.055,0.109,0.065,77.62,1,(H): WOL,76.55,2.842,0.01,0.077,0.267,0.199,76.55,1,(A): BRE,75.42,2.032,0.008,0.062,0.156,0.096,75.42,1
218,Muniz,4,FUL,54,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
219,Stansfield,4,FUL,45,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
220,Palhinha,3,FUL,50,(A): CHE,85.14,2.418,0.084,0.036,0.141,0.107,85.14,1,(H): NFO,84.15,3.053,0.146,0.062,0.316,0.177,84.15,1,(A): BHA,81.67,2.379,0.092,0.039,0.113,0.109,81.67,1,(H): WOL,79.26,2.758,0.125,0.054,0.275,0.147,79.26,1,(A): BRE,76.54,2.391,0.098,0.043,0.158,0.112,76.54,1
221,Cooper,2,LEE,44,(A): NFO(A): MUN,46.25,2.723,0.042,0.022000000000000002,0.212,0.14800000000000002,66.65 25.85,1 1,(H): MUN,26.55,0.674,0.011,0.005,0.04,0.027,26.55,1,(A): EVE,34.03,1.132,0.014,0.007,0.093,0.064,34.03,1,(H): SOU,34.66,1.398,0.019,0.01,0.124,0.115,34.66,1,(A): CHE,35.13,0.764,0.011,0.005,0.046,0.027,35.13,1
222,Ayling,2,LEE,45,(A): NFO(A): MUN,80.4,4.51,0.06,0.138,0.32799999999999996,0.238,80.74 80.05,1 1,(H): MUN,77.34,2.032,0.028,0.064,0.134,0.095,77.34,1,(A): EVE,74.3,2.624,0.028,0.063,0.221,0.164,74.3,1,(H): SOU,68.96,3.01,0.034,0.08,0.265,0.268,68.96,1,(A): CHE,69.72,1.595,0.019,0.044,0.1,0.062,69.72,1
223,Klich,3,LEE,46,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
224,Forshaw,3,LEE,44,(A): NFO(A): MUN,0,0,0,0,0,0,0 0,1 1,(H): MUN,0,0,0,0,0,0,0,1,(A): EVE,1.31,0.081,0.001,0.001,0.002,0.002,1.31,1,(H): SOU,6.53,0.324,0.007,0.007,0.003,0.012,6.53,1,(A): CHE,10.78,0.459,0.006,0.006,0.002,0.012,10.78,1
225,Rodrigo,3,LEE,64,(A): NFO(A): MUN,0,0,0,0,0,0,0 0,1 1,(H): MUN,0,0,0,0,0,0,0,1,(A): EVE,0,0,0,0,0,0,0,1,(H): SOU,0,0,0,0,0,0,0,1,(A): CHE,0,0,0,0,0,0,0,1
226,Dallas,2,LEE,49,(A): NFO(A): MUN,0,0,0,0,0,0,0 0,1 1,(H): MUN,0,0,0,0,0,0,0,1,(A): EVE,0,0,0,0,0,0,0,1,(H): SOU,3.09,0.129,0.002,0.004,0.005,0.013,3.09,1,(A): CHE,12.84,0.357,0.005,0.009,0.014,0.013,12.84,1
227,Bamford,4,LEE,72,(A): NFO(A): MUN,68.52,7.422,0.663,0.207,0,0.8919999999999999,69.04 67.99,1 1,(H): MUN,64.02,3.422,0.299,0.094,0,0.389,64.02,1,(A): EVE,62.5,3.457,0.301,0.094,0,0.45,62.5,1,(H): SOU,59.48,3.938,0.386,0.122,0,0.572,59.48,1,(A): CHE,61.94,2.853,0.222,0.07,0,0.245,61.94,1
228,Llorente,2,LEE,44,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
229,Roberts,3,LEE,50,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
230,Koch,2,LEE,45,(A): NFO(A): MUN,40.58,1.509,0.03,0.018,0.089,0.038,0 81.15,1 1,(H): MUN,78.25,1.879,0.032,0.02,0.132,0.063,78.25,1,(A): EVE,71.98,2.353,0.03,0.018,0.211,0.106,71.98,1,(H): SOU,73.76,2.947,0.043,0.026,0.283,0.193,73.76,1,(A): CHE,72.18,1.52,0.022,0.014,0.101,0.043,72.18,1
231,James,3,FUL,60,(A): CHE,16.24,0.784,0.019,0.017,0.011,0.026,16.24,1,(H): NFO,18.17,1.073,0.041,0.036,0.031,0.063,18.17,1,(A): BHA,18.17,0.904,0.026,0.022,0.014,0.032,18.17,1,(H): WOL,19.93,1.125,0.041,0.036,0.037,0.064,19.93,1,(A): BRE,19.6,1.016,0.033,0.029,0.023,0.04,19.6,1
232,Raphinha,3,LEE,70,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
233,Harrison,3,LEE,58,(A): NFO(A): MUN,54.86,4.937,0.14100000000000001,0.264,0.255,0.251,56.7 53.01,1 1,(H): MUN,36.94,1.742,0.048,0.084,0.059,0.071,36.94,1,(A): EVE,38.74,1.886,0.053,0.091,0.103,0.091,38.74,1,(H): SOU,35.23,1.989,0.067,0.11,0.111,0.131,35.23,1,(A): CHE,34.75,1.523,0.036,0.06,0.046,0.053,34.75,1
234,Shackleton,3,LEE,45,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
235,Struijk,2,LEE,45,(A): NFO(A): MUN,77.35,4.2860000000000005,0.081,0.08399999999999999,0.31,0.25,76.75 77.95,1 1,(H): MUN,75.95,1.938,0.036,0.04,0.129,0.098,75.95,1,(A): EVE,73.97,2.545,0.035,0.039,0.217,0.172,73.97,1,(H): SOU,67.67,2.887,0.044,0.048,0.257,0.28,67.67,1,(A): CHE,63.81,1.397,0.023,0.025,0.087,0.059,63.81,1
236,Klaesson,1,LEE,39,(A): NFO(A): MUN,0,0,0,0,0,0,0 0,1 1,(H): MUN,0,0,0,0,0,0,0,1,(A): EVE,0.45,0.018,0,0,0.001,0.002,0.45,1,(H): SOU,0.41,0.018,0,0,0.002,0.001,0.41,1,(A): CHE,1.13,0.041,0,0,0.001,0.003,1.13,1
237,Greenwood,4,LEE,41,(A): NFO(A): MUN,16.5,1.627,0.061,0.045,0,0.097,17.61 15.4,1 1,(H): MUN,13.64,0.683,0.025,0.019,0,0.037,13.64,1,(A): EVE,13.49,0.695,0.026,0.021,0,0.044,13.49,1,(H): SOU,12.66,0.74,0.033,0.027,0,0.064,12.66,1,(A): CHE,11.79,0.567,0.017,0.014,0,0.026,11.79,1
238,Meslier,1,LEE,45,(A): NFO(A): MUN,88.82,6.743,0,0.003,0.34099999999999997,0.544,88.61 89.04,1 1,(H): MUN,87.89,3.217,0,0.002,0.142,0.242,87.89,1,(A): EVE,86.5,3.499,0,0.002,0.245,0.325,86.5,1,(H): SOU,85.7,3.681,0,0.002,0.319,0.309,85.7,1,(A): CHE,85.29,3.081,0,0.001,0.113,0.231,85.29,1
239,Firpo,2,LEE,45,(A): NFO(A): MUN,19.97,1.531,0.024,0.039,0.084,0.060000000000000005,34.23 5.71,1 1,(H): MUN,9.95,0.334,0.005,0.009,0.006,0.008,9.95,1,(A): EVE,12.09,0.468,0.006,0.011,0.014,0.018,12.09,1,(H): SOU,13.96,0.634,0.01,0.018,0.023,0.041,13.96,1,(A): CHE,11.69,0.357,0.005,0.008,0.007,0.007,11.69,1
240,Summerville,3,LEE,42,(A): NFO(A): MUN,7.88,0.88,0.028,0.024,0.003,0.043,7.62 8.13,1 1,(H): MUN,11.5,0.62,0.021,0.019,0.004,0.029,11.5,1,(A): EVE,15.47,0.828,0.028,0.026,0.016,0.045,15.47,1,(H): SOU,17.4,1.035,0.042,0.037,0.026,0.08,17.4,1,(A): CHE,19.29,0.903,0.026,0.023,0.014,0.037,19.29,1
241,Bate,3,LEE,45,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
242,Gelhardt,4,LEE,51,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
243,Hjelde,2,LEE,39,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
244,Kristensen,2,LEE,48,(A): NFO(A): MUN,13.17,0.9239999999999999,0.013999999999999999,0.025,0.031,0.034,15.23 11.11,1 1,(H): MUN,13.21,0.432,0.006,0.012,0.012,0.013,13.21,1,(A): EVE,16.87,0.656,0.008,0.016,0.03,0.029,16.87,1,(H): SOU,23.22,1.073,0.015,0.03,0.065,0.07,23.22,1,(A): CHE,20.73,0.593,0.008,0.015,0.021,0.014,20.73,1
245,Roca,3,LEE,48,(A): NFO(A): MUN,70.48,4.806,0.1,0.16699999999999998,0.34199999999999997,0.231,70.8 70.17,1 1,(H): MUN,65.59,2.25,0.047,0.077,0.138,0.113,65.59,1,(A): EVE,60.78,2.215,0.045,0.071,0.207,0.109,60.78,1,(H): SOU,55.19,2.308,0.059,0.091,0.23,0.137,55.19,1,(A): CHE,57.68,1.909,0.034,0.051,0.1,0.083,57.68,1
246,Aaronson,3,LEE,54,(A): NFO(A): MUN,70.12,5.521,0.199,0.235,0.305,0.244,70.89 69.36,1 1,(H): MUN,59.3,2.342,0.082,0.098,0.106,0.095,59.3,1,(A): EVE,54.6,2.277,0.078,0.093,0.161,0.103,54.6,1,(H): SOU,53.18,2.534,0.1,0.124,0.2,0.145,53.18,1,(A): CHE,50.2,1.84,0.052,0.063,0.072,0.064,50.2,1
247,Gyabi,3,LEE,43,(A): NFO(A): MUN,0.96,0.09,0.002,0.002,0.001,0.003,1.08 0.84,1 1,(H): MUN,1.22,0.056,0.001,0.001,0,0.002,1.22,1,(A): EVE,1.39,0.064,0.001,0.001,0.001,0.002,1.39,1,(H): SOU,1.17,0.057,0.001,0.001,0.001,0.002,1.17,1,(A): CHE,0.81,0.036,0.001,0,0,0.001,0.81,1
248,Schmeichel,1,LEI,50,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
249,Evans,2,LEI,44,(A): AVL,0,0,0,0,0,0,0,1,(H): TOT,10.67,0.303,0.004,0.003,0.022,0.012,10.67,1,(A): MUN,40.28,0.727,0.009,0.007,0.043,0.02,40.28,1,(H): ARS,58.28,1.266,0.014,0.011,0.09,0.043,58.28,1,(A): SOU,70.49,2.208,0.022,0.017,0.2,0.111,70.49,1
250,Bertrand,2,LEI,39,(A): AVL,0,0,0,0,0,0,0,1,(H): TOT,0,0,0,0,0,0,0,1,(A): MUN,0,0,0,0,0,0,0,1,(H): ARS,0,0,0,0,0,0,0,1,(A): SOU,0.64,0.023,0,0,0,0.001,0.64,1
251,Albrighton,3,LEI,47,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,,
252,Mendy,3,LEI,43,(A): AVL,54.9,1.568,0.009,0.016,0.124,0.059,54.9,1,(H): TOT,46.8,1.378,0.009,0.014,0.1,0.047,46.8,1,(A): MUN,28.28,0.881,0.004,0.006,0.026,0.026,28.28,1,(H): ARS,15.63,0.536,0.002,0.004,0.013,0.014,15.63,1,(A): SOU,11.43,0.421,0.002,0.004,0.012,0.014,11.43,1
253,Vestergaard,2,LEI,39,(A): AVL,2.24,0.087,0.001,0.001,0.002,0.003,2.24,1,(H): TOT,1.47,0.06,0.001,0,0.001,0.002,1.47,1,(A): MUN,0.99,0.034,0,0,0,0.001,0.99,1,(H): ARS,1.27,0.047,0.001,0,0.001,0.001,1.27,1,(A): SOU,0.66,0.03,0,0,0.001,0.001,0.66,1
254,Ward,1,LEI,40,(A): AVL,87.86,3.317,0,0.001,0.188,0.254,87.86,1,(H): TOT,86.42,3.238,0,0.001,0.182,0.231,86.42,1,(A): MUN,86.3,3.07,0,0.001,0.09,0.213,86.3,1,(H): ARS,85.03,3.09,0,0.001,0.128,0.232,85.03,1,(A): SOU,85.04,3.363,0,0.001,0.232,0.267,85.04,1
255,Vardy,4,LEI,91,(A): AVL,38.04,1.995,0.148,0.055,0,0.189,38.04,1,(H): TOT,57.36,2.96,0.243,0.088,0,0.291,57.36,1,(A): MUN,55.64,2.42,0.166,0.061,0,0.163,55.64,1,(H): ARS,58.11,2.577,0.185,0.068,0,0.194,58.11,1,(A): SOU,59.31,3.027,0.244,0.089,0,0.337,59.31,1
256,Ricardo,2,LEI,43,(A): AVL,0,0,0,0,0,0,0,1,(H): TOT,2.38,0.081,0.001,0.002,0.001,0.004,2.38,1,(A): MUN,6.9,0.192,0.002,0.004,0.003,0.005,6.9,1,(H): ARS,12.81,0.391,0.004,0.009,0.011,0.014,12.81,1,(A): SOU,18.36,0.709,0.006,0.016,0.034,0.041,18.36,1
257,Amartey,2,LEI,42,(A): AVL,74.57,2.04,0.015,0.017,0.166,0.111,74.57,1,(H): TOT,52.57,1.426,0.011,0.016,0.109,0.073,52.57,1,(A): MUN,42.75,0.821,0.007,0.01,0.045,0.027,42.75,1,(H): ARS,37.14,0.881,0.006,0.009,0.056,0.036,37.14,1,(A): SOU,36.89,1.217,0.008,0.011,0.1,0.075,36.89,1
258,Castagne,2,LEI,45,(A): AVL,86.43,2.518,0.027,0.06,0.188,0.155,86.43,1,(H): TOT,81.03,2.382,0.025,0.061,0.176,0.135,81.03,1,(A): MUN,79.94,1.57,0.02,0.044,0.088,0.06,79.94,1,(H): ARS,78.81,1.891,0.02,0.046,0.123,0.091,78.81,1,(A): SOU,75.77,2.607,0.025,0.056,0.215,0.181,75.77,1
